Time,JumpHeight
2.06,0.9696025317167402
2.07,0.9709840522728824
2.08,0.9723334444439982
2.09,0.9736507082300874
2.1,0.97493584363115
2.11,0.9761888506471862
2.12,0.9774097292781957
2.13,0.9785984795241786
2.14,0.979755101385135
2.15,0.9808795948610648
2.16,0.9819719599519681
2.17,0.9830321966578447
2.18,0.9840603049786948
2.19,0.9850562849145185
2.2,0.9860201364653154
2.21,0.9869518596310858
2.22,0.9878514544118296
2.23,0.988718920807547
2.24,0.9895542588182377
2.25,0.9903574684439018
2.2600000000000002,0.9911285496845395
2.27,0.9918675025401504
2.2800000000000002,0.9925743270107349
2.29,0.9932490230962928
2.3000000000000003,0.9938915907968241
2.31,0.9945020301123288
2.32,0.9950803410428071
2.33,0.9956265235882586
2.34,0.9961405777486837
2.35,0.9966225035240822
